,availableBikes,availableDocks,latitude,longitude,station_id,statusKey,statusValue,testStation,totalDocks
0,18,35,40.7643971,-73.97371465,281,1,In Service,False,57
1,5,25,40.70463334,-74.01361706,304,1,In Service,False,33
2,14,35,40.75510267,-73.97498696,359,1,In Service,False,53
3,15,24,40.7403432,-73.98955109,402,1,In Service,False,39
4,5,24,40.71754834,-74.01322069,426,1,In Service,False,29
5,14,21,40.73314259,-73.97573881,487,1,In Service,False,36
6,3,43,40.74096374,-73.98602213,491,1,In Service,False,51
7,37,13,40.76087502,-74.00277668,514,1,In Service,False,52
8,12,26,40.75992262,-73.97648516,520,1,In Service,False,39
9,12,40,40.758996559605116,-73.96865397691727,3223,1,In Service,False,53
10,6,35,40.76132983124814,-73.97982001304626,3443,1,In Service,False,41
11,1,38,40.76727216,-73.99392888,72,1,In Service,False,39
12,3,30,40.71911552,-74.00666661,79,1,In Service,False,33
13,17,10,40.71117416,-74.00016545,82,1,In Service,False,27
14,16,43,40.68382604,-73.97632328,83,1,In Service,False,62
15,14,4,40.69608941,-73.97803415,119,1,In Service,False,19
16,3,16,40.68676793,-73.95928168,120,1,In Service,False,19
17,8,22,40.73172428,-74.00674436,127,1,In Service,False,31
18,1,28,40.72710258,-74.00297088,128,1,In Service,False,30
19,22,1,40.69239502,-73.99337909,143,1,In Service,False,24
20,7,12,40.69839895,-73.98068914,144,1,In Service,False,19
21,0,37,40.71625008,-74.0091059,146,1,In Service,False,39
22,19,8,40.7208736,-73.98085795,150,1,In Service,False,29
23,4,28,40.722103786686034,-73.99724900722504,151,1,In Service,False,33
24,14,8,40.69089272,-73.99612349,157,1,In Service,False,23
25,4,43,40.75323098,-73.97032517,164,1,In Service,False,47
26,0,43,40.7489006,-73.97604882,167,1,In Service,False,45
27,6,41,40.73971301,-73.99456405,168,1,In Service,False,47
28,22,29,40.76068327096592,-73.9845272898674,173,1,In Service,False,51
29,5,24,40.7381765,-73.97738662,174,1,In Service,False,30
30,6,39,40.70905623,-74.01043382,195,1,In Service,False,45
31,4,23,40.74334935,-74.00681753,212,1,In Service,False,28
32,5,17,40.70037867,-73.99548059,216,1,In Service,False,23
33,9,28,40.70277159,-73.99383605,217,1,In Service,False,39
34,1,30,40.73781509,-73.99994661,223,1,In Service,False,33
35,11,44,40.7546011026,-73.971878855,228,1,In Service,False,55
36,17,5,40.72743423,-73.99379025,229,1,In Service,False,23
37,6,16,40.69597683,-73.99014892,232,1,In Service,False,23
38,0,39,40.7284186,-73.98713956,236,1,In Service,False,39
39,0,37,40.73047309,-73.98672378,237,1,In Service,False,39
40,1,26,40.7361967,-74.00859207,238,1,In Service,False,31
41,10,19,40.69196566,-73.9813018,239,1,In Service,False,31
42,7,13,40.68981035,-73.97493121,241,1,In Service,False,23
43,7,15,40.697787,-73.973736,242,1,In Service,False,23
44,10,18,40.688226,-73.979382,243,1,In Service,False,31
45,8,23,40.69196035,-73.96536851,244,1,In Service,False,31
46,6,16,40.69327018,-73.97703874,245,1,In Service,False,23
47,0,17,40.73535398,-74.00483091,247,1,In Service,False,20
48,3,20,40.72185379,-74.00771779,248,1,In Service,False,23
49,12,13,40.71870987,-74.0090009,249,1,In Service,False,27
50,2,23,40.72317958,-73.99480012,251,1,In Service,False,27
51,4,28,40.73226398,-73.99852205,252,1,In Service,False,33
52,2,50,40.73543934,-73.99453948,253,1,In Service,False,55
53,1,29,40.73532427,-73.99800419,254,1,In Service,False,31
54,4,34,40.71939226,-74.00247214,257,1,In Service,False,39
55,0,20,40.68940747,-73.96885458,258,1,In Service,False,23
56,2,34,40.70122128,-74.01234218,259,1,In Service,False,39
57,6,28,40.70365182,-74.01167797,260,1,In Service,False,35
58,10,17,40.69474881,-73.98362464,261,1,In Service,False,27
59,19,4,40.6917823,-73.9737299,262,1,In Service,False,24
60,3,24,40.70706456,-74.00731853,264,1,In Service,False,27
61,20,13,40.72229346,-73.99147535,265,1,In Service,False,35
62,7,17,40.72368361,-73.97574813,266,1,In Service,False,24
63,1,55,40.75097711,-73.98765428,267,1,In Service,False,57
64,8,19,40.71910537,-73.99973337,268,1,In Service,False,27
65,9,13,40.69308257,-73.97178913,270,1,In Service,False,23
66,11,18,40.68691865,-73.976682,274,1,In Service,False,31
67,0,18,40.68650065,-73.96563307,275,1,In Service,False,19
68,3,22,40.71748752,-74.0104554,276,1,In Service,False,25
69,3,13,40.69766564,-73.98476437,278,1,In Service,False,19
70,15,21,40.707873,-74.00167,279,1,In Service,False,36
71,1,27,40.73331967,-73.99510132,280,1,In Service,False,31
72,21,4,40.707644944175705,-73.96841526031494,282,1,In Service,False,27
73,19,32,40.73454567,-73.99074142,285,1,In Service,False,51
74,7,12,40.6845683,-73.95881081,289,1,In Service,False,19
75,12,7,40.713126,-73.984844,291,1,In Service,False,20
76,6,45,40.73020660529954,-73.99102628231049,293,1,In Service,False,55
77,19,5,40.71406667,-73.99293911,295,1,In Service,False,24
78,3,30,40.71413089,-73.9970468,296,1,In Service,False,35
79,1,26,40.734232,-73.986923,297,1,In Service,False,27
80,11,24,40.68683208,-73.9796772,298,1,In Service,False,35
81,9,28,40.72217444,-73.98368779,301,1,In Service,False,37
82,14,9,40.72082834,-73.97793172,302,1,In Service,False,23
83,3,24,40.72362738,-73.99949601,303,1,In Service,False,31
84,16,15,40.76095756,-73.96724467,305,1,In Service,False,33
85,19,11,40.71427487,-73.98990025,307,1,In Service,False,30
86,5,21,40.71307916,-73.99851193,308,1,In Service,False,27
87,31,9,40.7149787,-74.013012,309,1,In Service,False,41
88,1,32,40.68926942,-73.98912867,310,1,In Service,False,36
89,16,13,40.7172274,-73.98802084,311,1,In Service,False,31
90,23,7,40.722055,-73.989111,312,1,In Service,False,31
91,12,9,40.69610226,-73.96751037,313,1,In Service,False,23
92,1,38,40.69383,-73.990539,314,1,In Service,False,39
93,0,24,40.70355377,-74.00670227,315,1,In Service,False,29
94,6,33,40.70955958,-74.00653609,316,1,In Service,False,43
95,0,25,40.72453734,-73.98185424,317,1,In Service,False,27
96,3,30,40.711066,-74.009447,319,1,In Service,False,33
97,1,26,40.717571,-74.005549,320,1,In Service,False,27
98,2,24,40.69991755,-73.98971773,321,1,In Service,False,27
99,13,17,40.696192,-73.991218,322,1,In Service,False,31
100,8,29,40.69236178,-73.98631746,323,1,In Service,False,39
101,30,20,40.689888,-73.981013,324,1,In Service,False,51
102,0,35,40.73624527,-73.98473765,325,1,In Service,False,35
103,1,26,40.72953837,-73.98426726,326,1,In Service,False,27
104,22,16,40.7153379,-74.01658354,327,1,In Service,False,39
105,4,18,40.72405549,-74.00965965,328,1,In Service,False,23
106,2,35,40.71450451,-74.00562789,330,1,In Service,False,39
107,21,5,40.71173107,-73.99193043,331,1,In Service,False,27
108,16,7,40.71219906,-73.97948148,332,1,In Service,False,24
109,0,26,40.74238787,-73.99726235,334,1,In Service,False,31
110,10,14,40.72903917,-73.99404649,335,1,In Service,False,27
111,2,32,40.73047747,-73.99906065,336,1,In Service,False,36
112,13,24,40.7037992,-74.00838676,337,1,In Service,False,37
113,18,6,40.72580614,-73.97422494,339,1,In Service,False,24
114,17,9,40.71269042,-73.98776323,340,1,In Service,False,27
115,18,0,40.71782143,-73.97628939,341,1,In Service,False,19
116,25,3,40.71739973,-73.98016555,342,1,In Service,False,29
117,14,9,40.69794,-73.96986848,343,1,In Service,False,23
118,9,12,40.6851443,-73.95380904,344,1,In Service,False,23
119,3,26,40.73649403,-73.99704374,345,1,In Service,False,35
120,0,27,40.73652889,-74.00618026,346,1,In Service,False,27
121,5,29,40.728846,-74.008591,347,1,In Service,False,35
122,8,15,40.71850211,-73.98329859,349,1,In Service,False,23
123,13,15,40.71559509,-73.9870295,350,1,In Service,False,28
124,8,30,40.70530954,-74.00612572,351,1,In Service,False,39
125,2,23,40.68539567,-73.97431458,353,1,In Service,False,27
126,9,13,40.69363137,-73.96223558,354,1,In Service,False,23
127,1,39,40.71602118,-73.99974372,355,1,In Service,False,43
128,13,9,40.71622644,-73.98261206,356,1,In Service,False,23
129,1,26,40.73261787,-73.99158043,357,1,In Service,False,27
130,1,34,40.73291553,-74.00711384,358,1,In Service,False,36
131,4,33,40.70717936,-74.00887308,360,1,In Service,False,39
132,26,16,40.71605866,-73.99190759,361,1,In Service,False,43
133,1,55,40.75172632,-73.98753523,362,1,In Service,False,57
134,14,32,40.70834698,-74.01713445,363,1,In Service,False,49
135,17,10,40.68900443,-73.96023854,364,1,In Service,False,27
136,25,6,40.68223166,-73.9614583,365,1,In Service,False,31
137,17,16,40.693261,-73.968896,366,1,In Service,False,33
138,0,38,40.73038599,-74.00214988,368,1,In Service,False,39
139,0,34,40.73224119,-74.00026394,369,1,In Service,False,35
140,15,11,40.694546087246025,-73.95801365375519,372,1,In Service,False,27
141,9,8,40.69331716,-73.95381995,373,1,In Service,False,19
142,3,35,40.70862144,-74.00722156,376,1,In Service,False,43
143,11,33,40.72243797,-74.00566443,377,1,In Service,False,45
144,0,42,40.749156,-73.9916,379,1,In Service,False,42
145,0,37,40.73401143,-74.00293877,380,1,In Service,False,39
146,3,32,40.73492695,-73.99200509,382,1,In Service,False,36
147,1,36,40.735238,-74.000271,383,1,In Service,False,39
148,3,39,40.71494807,-74.00234482,386,1,In Service,False,43
149,5,32,40.71273266,-74.0046073,387,1,In Service,False,39
150,5,30,40.749717753,-74.002950346,388,1,In Service,False,35
151,6,21,40.71044554,-73.96525063,389,1,In Service,False,27
152,6,25,40.69221589,-73.9842844,390,1,In Service,False,31
153,2,27,40.69760127,-73.99344559,391,1,In Service,False,31
154,11,24,40.695065,-73.987167,392,1,In Service,False,35
155,20,10,40.72299208,-73.97995466,393,1,In Service,False,31
156,15,13,40.72521311,-73.97768752,394,1,In Service,False,32
157,18,7,40.680342423,-73.9557689392,396,1,In Service,False,25
158,6,21,40.68415748,-73.96922273,397,1,In Service,False,27
159,9,22,40.69165183,-73.9999786,398,1,In Service,False,31
160,8,19,40.68851534,-73.9647628,399,1,In Service,False,27
161,12,3,40.71926081,-73.98178024,400,1,In Service,False,15
162,21,19,40.72019576,-73.98997825,401,1,In Service,False,42
163,21,8,40.72502876,-73.99069656,403,1,In Service,False,31
164,1,38,40.739323,-74.008119,405,1,In Service,False,40
165,0,33,40.69512845,-73.99595065,406,1,In Service,False,34
166,7,30,40.700469,-73.991454,407,1,In Service,False,37
167,19,2,40.71076228,-73.99400398,408,1,In Service,False,23
168,13,5,40.6906495,-73.95643107,409,1,In Service,False,19
169,11,24,40.72066442,-73.98517977,410,1,In Service,False,35
170,10,13,40.72228087,-73.97668709,411,1,In Service,False,23
171,8,19,40.7158155,-73.99422366,412,1,In Service,False,29
172,7,15,40.70281858,-73.98765762,414,1,In Service,False,24
173,13,28,40.7047177,-74.00926027,415,1,In Service,False,42
174,5,26,40.68753406,-73.97265183,416,1,In Service,False,31
175,3,17,40.71291224,-74.01020234,417,1,In Service,False,23
176,1,21,40.70224,-73.982578,418,1,In Service,False,23
177,12,10,40.69580705,-73.97355569,419,1,In Service,False,23
178,6,16,40.68764484,-73.96968902,420,1,In Service,False,23
179,14,5,40.69573398,-73.97129668,421,1,In Service,False,19
180,0,55,40.770513,-73.988038,422,1,In Service,False,55
181,0,25,40.76584941,-73.98690506,423,1,In Service,False,27
182,5,42,40.701907,-74.013942,427,1,In Service,False,47
183,11,19,40.72621788,-73.98379855,432,1,In Service,False,31
184,11,28,40.72955361,-73.98057249,433,1,In Service,False,39
185,2,45,40.74173969,-73.99415556,435,1,In Service,False,47
186,6,20,40.68216564,-73.95399026,436,1,In Service,False,27
187,12,11,40.6809833854,-73.9500479759,437,1,In Service,False,24
188,22,18,40.72779126,-73.98564945,438,1,In Service,False,41
