,availableBikes,availableDocks,latitude,longitude,station_id,statusKey,statusValue,testStation,totalDocks
0,1,26,40.7208736,-73.98085795,150,1,In Service,False,29
1,12,17,40.71427487,-73.98990025,307,1,In Service,False,30
2,16,36,40.72740794,-73.98142006,445,1,In Service,False,52
3,29,4,40.75898481399634,-73.99379968643188,3236,1,In Service,False,33
4,15,12,40.6610633719006,-73.97945255041122,3423,1,In Service,False,29
5,15,23,40.76727216,-73.99392888,72,1,In Service,False,39
6,0,33,40.71911552,-74.00666661,79,1,In Service,False,33
7,0,26,40.71117416,-74.00016545,82,1,In Service,False,27
8,30,28,40.68382604,-73.97632328,83,1,In Service,False,62
9,8,10,40.69608941,-73.97803415,119,1,In Service,False,19
10,9,10,40.68676793,-73.95928168,120,1,In Service,False,19
11,17,10,40.73172428,-74.00674436,127,1,In Service,False,31
12,0,30,40.72710258,-74.00297088,128,1,In Service,False,30
13,1,23,40.69239502,-73.99337909,143,1,In Service,False,24
14,2,16,40.69839895,-73.98068914,144,1,In Service,False,19
15,0,38,40.71625008,-74.0091059,146,1,In Service,False,39
16,1,32,40.722103786686034,-73.99724900722504,151,1,In Service,False,33
17,0,2,40.71473993,-74.00910627,152,3,Not In Service,False,2
18,15,7,40.69089272,-73.99612349,157,1,In Service,False,23
19,0,0,40.72917025,-73.99810231,161,3,Not In Service,False,0
20,0,46,40.75323098,-73.97032517,164,1,In Service,False,47
21,2,40,40.7489006,-73.97604882,167,1,In Service,False,45
22,2,44,40.73971301,-73.99456405,168,1,In Service,False,47
23,0,49,40.76068327096592,-73.9845272898674,173,1,In Service,False,51
24,6,22,40.7381765,-73.97738662,174,1,In Service,False,30
25,0,42,40.70905623,-74.01043382,195,1,In Service,False,45
26,2,26,40.74334935,-74.00681753,212,1,In Service,False,28
27,3,19,40.70037867,-73.99548059,216,1,In Service,False,23
28,21,16,40.70277159,-73.99383605,217,1,In Service,False,39
29,1,32,40.73781509,-73.99994661,223,1,In Service,False,33
30,0,54,40.7546011026,-73.971878855,228,1,In Service,False,55
31,7,14,40.72743423,-73.99379025,229,1,In Service,False,23
32,2,20,40.69597683,-73.99014892,232,1,In Service,False,23
33,39,0,40.7284186,-73.98713956,236,1,In Service,False,39
