,availableBikes,availableDocks,latitude,longitude,station_id,statusKey,statusValue,testStation,totalDocks
109,10,16,40.71173107,-73.99193043,331,1,In Service,False,27
110,7,17,40.71219906,-73.97948148,332,1,In Service,False,24
111,0,31,40.74238787,-73.99726235,334,1,In Service,False,31
112,24,3,40.72903917,-73.99404649,335,1,In Service,False,27
113,1,35,40.73047747,-73.99906065,336,1,In Service,False,36
114,33,3,40.7037992,-74.00838676,337,1,In Service,False,37
115,22,2,40.72580614,-73.97422494,339,1,In Service,False,24
116,11,16,40.71269042,-73.98776323,340,1,In Service,False,27
117,14,5,40.71782143,-73.97628939,341,1,In Service,False,19
118,1,27,40.71739973,-73.98016555,342,1,In Service,False,29
119,14,9,40.69794,-73.96986848,343,1,In Service,False,23
120,11,11,40.6851443,-73.95380904,344,1,In Service,False,23
121,1,33,40.73649403,-73.99704374,345,1,In Service,False,35
122,1,26,40.73652889,-74.00618026,346,1,In Service,False,27
123,32,2,40.728846,-74.008591,347,1,In Service,False,35
124,2,21,40.71850211,-73.98329859,349,1,In Service,False,23
125,2,26,40.71559509,-73.9870295,350,1,In Service,False,28
126,28,6,40.70530954,-74.00612572,351,1,In Service,False,39
127,6,20,40.68539567,-73.97431458,353,1,In Service,False,27
128,1,21,40.69363137,-73.96223558,354,1,In Service,False,23
129,6,36,40.71602118,-73.99974372,355,1,In Service,False,43
130,3,20,40.71622644,-73.98261206,356,1,In Service,False,23
131,2,25,40.73261787,-73.99158043,357,1,In Service,False,27
132,1,35,40.73291553,-74.00711384,358,1,In Service,False,36
133,12,27,40.70717936,-74.00887308,360,1,In Service,False,39
134,1,42,40.71605866,-73.99190759,361,1,In Service,False,43
135,3,5,40.75172632,-73.98753523,362,3,Not In Service,False,57
136,3,46,40.70834698,-74.01713445,363,1,In Service,False,49
137,19,8,40.68900443,-73.96023854,364,1,In Service,False,27
138,4,27,40.68223166,-73.9614583,365,1,In Service,False,31
139,0,32,40.693261,-73.968896,366,1,In Service,False,33
140,4,35,40.73038599,-74.00214988,368,1,In Service,False,39
141,0,34,40.73224119,-74.00026394,369,1,In Service,False,35
142,5,21,40.694546087246025,-73.95801365375519,372,1,In Service,False,27
143,7,12,40.69331716,-73.95381995,373,1,In Service,False,19
144,13,29,40.70862144,-74.00722156,376,1,In Service,False,43
145,0,41,40.749156,-73.9916,379,1,In Service,False,42
146,1,35,40.73401143,-74.00293877,380,1,In Service,False,39
147,25,11,40.73492695,-73.99200509,382,1,In Service,False,36
148,0,37,40.735238,-74.000271,383,1,In Service,False,39
149,31,12,40.71494807,-74.00234482,386,1,In Service,False,43
150,8,31,40.71273266,-74.0046073,387,1,In Service,False,39
151,22,10,40.749717753,-74.002950346,388,1,In Service,False,35
152,4,22,40.71044554,-73.96525063,389,1,In Service,False,27
153,20,11,40.69221589,-73.9842844,390,1,In Service,False,31
154,5,26,40.69760127,-73.99344559,391,1,In Service,False,31
155,7,28,40.695065,-73.987167,392,1,In Service,False,35
156,0,31,40.72299208,-73.97995466,393,1,In Service,False,31
157,5,26,40.72521311,-73.97768752,394,1,In Service,False,32
158,13,12,40.680342423,-73.9557689392,396,1,In Service,False,25
159,2,24,40.68415748,-73.96922273,397,1,In Service,False,27
160,15,16,40.69165183,-73.9999786,398,1,In Service,False,31
161,13,13,40.68851534,-73.9647628,399,1,In Service,False,27
162,3,12,40.71926081,-73.98178024,400,1,In Service,False,15
163,1,40,40.72019576,-73.98997825,401,1,In Service,False,42
164,6,23,40.72502876,-73.99069656,403,1,In Service,False,31
165,1,39,40.739323,-74.008119,405,1,In Service,False,40
166,4,30,40.69512845,-73.99595065,406,1,In Service,False,34
167,6,30,40.700469,-73.991454,407,1,In Service,False,37
168,2,21,40.71076228,-73.99400398,408,1,In Service,False,23
169,8,9,40.6906495,-73.95643107,409,1,In Service,False,19
170,0,34,40.72066442,-73.98517977,410,1,In Service,False,35
171,7,16,40.72228087,-73.97668709,411,1,In Service,False,23
172,1,28,40.7158155,-73.99422366,412,1,In Service,False,29
173,14,9,40.70281858,-73.98765762,414,1,In Service,False,24
174,9,31,40.7047177,-74.00926027,415,1,In Service,False,42
175,2,28,40.68753406,-73.97265183,416,1,In Service,False,31
176,1,22,40.71291224,-74.01020234,417,1,In Service,False,23
177,8,14,40.70224,-73.982578,418,1,In Service,False,23
178,11,11,40.69580705,-73.97355569,419,1,In Service,False,23
179,4,19,40.68764484,-73.96968902,420,1,In Service,False,23
180,10,9,40.69573398,-73.97129668,421,1,In Service,False,19
181,0,55,40.770513,-73.988038,422,1,In Service,False,55
182,3,24,40.76584941,-73.98690506,423,1,In Service,False,27
183,23,24,40.701907,-74.013942,427,1,In Service,False,47
184,0,30,40.72621788,-73.98379855,432,1,In Service,False,31
185,0,39,40.72955361,-73.98057249,433,1,In Service,False,39
186,36,10,40.74173969,-73.99415556,435,1,In Service,False,47
187,13,14,40.68216564,-73.95399026,436,1,In Service,False,27
188,23,0,40.6809833854,-73.9500479759,437,1,In Service,False,24
189,0,39,40.72779126,-73.98564945,438,1,In Service,False,41
190,27,4,40.75255434,-73.97282625,440,1,In Service,False,32
191,0,32,40.756014,-73.967416,441,1,In Service,False,35
192,4,46,40.746647,-73.993915,442,1,In Service,False,51
193,7,16,40.70853074,-73.96408963,443,1,In Service,False,23
194,17,30,40.72740794,-73.98142006,445,1,In Service,False,52
195,7,29,40.74487634,-73.99529885,446,1,In Service,False,39
196,0,23,40.76370739,-73.9851615,447,1,In Service,False,23
197,6,25,40.75660359,-73.9979009,448,1,In Service,False,31
198,0,0,40.76461837,-73.98789473,449,3,Not In Service,False,0
199,2,57,40.76227205,-73.98788205,450,1,In Service,False,59
200,0,39,40.74475148,-73.99915362,453,1,In Service,False,39
201,1,33,40.75455731,-73.96592976,454,1,In Service,False,35
202,25,11,40.75001986,-73.96905301,455,1,In Service,False,39
203,22,13,40.7597108,-73.97402311,456,1,In Service,False,35
204,2,36,40.76695317,-73.98169333,457,1,In Service,False,39
205,26,2,40.751396,-74.005226,458,1,In Service,False,31
206,15,34,40.746745,-74.007756,459,1,In Service,False,49
207,3,19,40.71285887,-73.96590294,460,1,In Service,False,23
208,1,36,40.73587678,-73.98205027,461,1,In Service,False,39
209,2,45,40.74691959,-74.00451887,462,1,In Service,False,47
210,6,25,40.75513557,-73.98658032,465,1,In Service,False,39
211,18,17,40.74395411,-73.99144871,466,1,In Service,False,35
212,22,11,40.68312489,-73.97895137,467,1,In Service,False,34
213,8,41,40.7652654,-73.98192338,468,1,In Service,False,49
214,10,46,40.76344058,-73.98268129,469,1,In Service,False,57
215,0,38,40.74345335,-74.00004031,470,1,In Service,False,38
216,2,28,40.71286844,-73.95698119,471,1,In Service,False,31
217,8,33,40.7457121,-73.98194829,472,1,In Service,False,41
218,2,36,40.72110063,-73.9919254,473,1,In Service,False,38
219,24,22,40.7451677,-73.98683077,474,1,In Service,False,47
220,2,45,40.74394314,-73.97966069,476,1,In Service,False,47
221,0,58,40.75640548,-73.9900262,477,1,In Service,False,59
222,1,30,40.76030096,-73.99884222,478,1,In Service,False,31
223,0,30,40.76019252,-73.9912551,479,1,In Service,False,31
224,0,26,40.76669671,-73.99061728,480,1,In Service,False,27
225,12,13,40.71260486,-73.96264403,481,1,In Service,False,25
226,0,38,40.73935542,-73.99931783,482,1,In Service,False,39
227,1,33,40.73223272,-73.98889957,483,1,In Service,False,35
228,39,4,40.75500254,-73.98014437,484,1,In Service,False,44
229,11,28,40.75038009,-73.98338988,485,1,In Service,False,39
230,7,32,40.7462009,-73.98855723,486,1,In Service,False,39
231,0,36,40.73314259,-73.97573881,487,1,In Service,False,36
232,0,59,40.751551,-73.993934,490,1,In Service,False,59
233,0,60,40.75019995,-73.99093085,492,1,In Service,False,61
234,0,35,40.74734825,-73.99723551,494,1,In Service,False,35
235,0,25,40.76269882,-73.99301222,495,1,In Service,False,25
236,14,33,40.73726186,-73.99238967,496,1,In Service,False,47
237,53,2,40.73704984,-73.99009296,497,1,In Service,False,59
238,1,29,40.74854862,-73.98808416,498,1,In Service,False,30
239,14,22,40.76915505,-73.98191841,499,1,In Service,False,36
240,15,34,40.76228826,-73.98336183,500,1,In Service,False,52
241,1,42,40.744219,-73.97121214,501,1,In Service,False,43
242,0,30,40.714215,-73.981346,502,1,In Service,False,30
243,14,15,40.73827428,-73.98751968,503,1,In Service,False,29
244,0,45,40.73221853,-73.98165557,504,1,In Service,False,45
245,0,35,40.74901271,-73.98848395,505,1,In Service,False,36
246,1,44,40.73912601,-73.97973776,507,1,In Service,False,45
247,5,19,40.76341379,-73.99667444,508,1,In Service,False,24
248,0,32,40.7454973,-74.00197139,509,1,In Service,False,36
249,0,26,40.768254,-73.988639,513,1,In Service,False,27
250,0,35,40.76009437,-73.99461843,515,1,In Service,False,35
251,11,20,40.75206862,-73.96784384,516,1,In Service,False,31
252,4,55,40.751581,-73.97791,517,1,In Service,False,59
253,0,38,40.74780373,-73.9734419,518,1,In Service,False,39
254,0,61,40.751873,-73.977706,519,1,In Service,False,61
255,0,0,40.75714758,-73.97207836,522,3,Not In Service,False,0
256,4,46,40.75466591,-73.99138152,523,1,In Service,False,51
257,33,23,40.75527307,-73.98316936,524,1,In Service,False,57
258,1,37,40.75594159,-74.0021163,525,1,In Service,False,39
259,9,28,40.74765947,-73.98490707,526,1,In Service,False,39
260,1,38,40.74290902,-73.97706058,528,1,In Service,False,39
261,1,39,40.7575699,-73.99098507,529,1,In Service,False,41
262,0,24,40.771522,-73.990541,530,1,In Service,False,24
263,0,38,40.71893904,-73.99266288,531,1,In Service,False,39
264,4,36,40.710451,-73.960876,532,1,In Service,False,43
265,20,26,40.75299641,-73.98721619,533,1,In Service,False,46
266,25,4,40.70255065,-74.0127234,534,1,In Service,False,31
267,13,16,40.74144387,-73.97536082,536,1,In Service,False,29
268,0,37,40.74025878,-73.98409214,537,1,In Service,False,39
269,11,19,40.71534825,-73.96024116,539,1,In Service,False,31
270,5,25,40.74311555376486,-73.98215353488922,540,1,In Service,False,30
271,0,26,40.736502,-73.97809472,545,1,In Service,False,27
272,6,32,40.74444921,-73.98303529,546,1,In Service,False,38
273,7,22,40.70255088,-73.98940236,2000,1,In Service,False,30
274,0,0,40.699773,-73.979927,2001,3,Not In Service,False,0
275,8,19,40.716887,-73.963198,2002,1,In Service,False,27
276,0,39,40.733812191966315,-73.98054420948029,2003,1,In Service,False,39
