,availableBikes,availableDocks,latitude,longitude,station_id,statusKey,statusValue,testStation,totalDocks
0,37,2,40.76727216,-73.99392888,72,1,In Service,False,39
1,1,31,40.71911552,-74.00666661,79,1,In Service,False,33
2,26,0,40.71117416,-74.00016545,82,1,In Service,False,27
3,20,40,40.68382604,-73.97632328,83,1,In Service,False,62
4,9,10,40.69608941,-73.97803415,119,1,In Service,False,19
5,5,14,40.68676793,-73.95928168,120,1,In Service,False,19
6,27,0,40.73172428,-74.00674436,127,1,In Service,False,31
7,23,6,40.72710258,-74.00297088,128,1,In Service,False,30
8,4,19,40.69239502,-73.99337909,143,1,In Service,False,24
9,18,1,40.69839895,-73.98068914,144,1,In Service,False,19
10,11,27,40.71625008,-74.0091059,146,1,In Service,False,39
11,7,21,40.7208736,-73.98085795,150,1,In Service,False,29
12,26,6,40.722103786686034,-73.99724900722504,151,1,In Service,False,33
13,0,24,40.71473993,-74.00910627,152,3,Not In Service,False,24
14,12,11,40.69089272,-73.99612349,157,1,In Service,False,23
15,30,5,40.72917025,-73.99810231,161,1,In Service,False,35
16,4,41,40.75323098,-73.97032517,164,1,In Service,False,47
17,0,44,40.7489006,-73.97604882,167,1,In Service,False,45
18,36,7,40.73971301,-73.99456405,168,1,In Service,False,47
19,7,42,40.76068327096592,-73.9845272898674,173,1,In Service,False,51
20,2,26,40.7381765,-73.97738662,174,1,In Service,False,30
21,6,39,40.70905623,-74.01043382,195,1,In Service,False,45
22,10,17,40.74334935,-74.00681753,212,1,In Service,False,28
23,7,16,40.70037867,-73.99548059,216,1,In Service,False,23
24,36,0,40.70277159,-73.99383605,217,1,In Service,False,39
25,30,1,40.73781509,-73.99994661,223,1,In Service,False,33
26,1,54,40.7546011026,-73.971878855,228,1,In Service,False,55
27,17,3,40.72743423,-73.99379025,229,1,In Service,False,23
28,20,2,40.69597683,-73.99014892,232,1,In Service,False,23
29,36,2,40.7284186,-73.98713956,236,1,In Service,False,39
30,35,2,40.73047309,-73.98672378,237,1,In Service,False,39
31,0,31,40.7361967,-74.00859207,238,3,Not In Service,False,31
32,12,18,40.69196566,-73.9813018,239,1,In Service,False,31
33,9,13,40.68981035,-73.97493121,241,1,In Service,False,23
34,15,8,40.697787,-73.973736,242,1,In Service,False,23
35,30,0,40.688226,-73.979382,243,1,In Service,False,31
36,6,24,40.69196035,-73.96536851,244,1,In Service,False,31
37,20,3,40.69327018,-73.97703874,245,1,In Service,False,23
38,17,2,40.73535398,-74.00483091,247,1,In Service,False,20
