,availableBikes,availableDocks,latitude,longitude,station_id,statusKey,statusValue,testStation,totalDocks
0,10,28,40.76727216,-73.99392888,72,1,In Service,False,39
1,1,32,40.71911552,-74.00666661,79,1,In Service,False,33
2,7,20,40.71117416,-74.00016545,82,1,In Service,False,27
3,33,25,40.68382604,-73.97632328,83,1,In Service,False,62
4,6,33,40.74177603,-74.00149746,116,1,In Service,False,39
5,6,13,40.69608941,-73.97803415,119,1,In Service,False,19
6,15,3,40.68676793,-73.95928168,120,1,In Service,False,19
7,5,21,40.73172428,-74.00674436,127,1,In Service,False,31
8,21,8,40.72710258,-74.00297088,128,1,In Service,False,30
9,9,11,40.69239502,-73.99337909,143,1,In Service,False,24
10,2,15,40.69839895,-73.98068914,144,1,In Service,False,19
11,27,10,40.71625008,-74.0091059,146,1,In Service,False,39
12,10,19,40.7208736,-73.98085795,150,1,In Service,False,31
13,22,11,40.722103786686034,-73.99724900722504,151,1,In Service,False,33
14,12,15,40.71473993,-74.00910627,152,1,In Service,False,29
15,0,53,40.752062307,-73.9816324043,153,1,In Service,False,55
16,5,18,40.69089272,-73.99612349,157,1,In Service,False,23
17,30,1,40.72917025,-73.99810231,161,1,In Service,False,35
18,4,36,40.75323098,-73.97032517,164,1,In Service,False,47
19,3,41,40.7489006,-73.97604882,167,1,In Service,False,45
20,15,29,40.73971301,-73.99456405,168,1,In Service,False,47
21,0,50,40.76068327096592,-73.9845272898674,173,1,In Service,False,51
22,3,27,40.7381765,-73.97738662,174,1,In Service,False,30
23,1,43,40.70905623,-74.01043382,195,1,In Service,False,45
24,0,26,40.74334935,-74.00681753,212,1,In Service,False,28
25,6,16,40.70037867,-73.99548059,216,1,In Service,False,23
26,17,20,40.70277159,-73.99383605,217,1,In Service,False,39
27,10,21,40.73781509,-73.99994661,223,1,In Service,False,33
28,0,0,40.71146364,-74.00552427,224,3,Not In Service,False,0
29,1,53,40.7546011026,-73.971878855,228,1,In Service,False,55
30,13,7,40.72743423,-73.99379025,229,1,In Service,False,23
31,12,11,40.69597683,-73.99014892,232,1,In Service,False,23
32,24,12,40.7284186,-73.98713956,236,1,In Service,False,39
33,20,19,40.73047309,-73.98672378,237,1,In Service,False,39
34,28,3,40.7361967,-74.00859207,238,1,In Service,False,31
35,17,14,40.69196566,-73.9813018,239,1,In Service,False,31
36,6,16,40.68981035,-73.97493121,241,1,In Service,False,23
37,11,10,40.697787,-73.973736,242,1,In Service,False,23
38,16,13,40.688226,-73.979382,243,1,In Service,False,31
39,11,18,40.69196035,-73.96536851,244,1,In Service,False,31
40,10,12,40.69327018,-73.97703874,245,1,In Service,False,23
41,18,1,40.73535398,-74.00483091,247,1,In Service,False,20
42,3,19,40.72185379,-74.00771779,248,1,In Service,False,23
43,2,23,40.71870987,-74.0090009,249,1,In Service,False,27
44,22,4,40.72317958,-73.99480012,251,1,In Service,False,27
45,31,0,40.73226398,-73.99852205,252,1,In Service,False,33
46,3,50,40.73543934,-73.99453948,253,1,In Service,False,55
47,14,16,40.73532427,-73.99800419,254,1,In Service,False,31
48,12,26,40.71939226,-74.00247214,257,1,In Service,False,39
49,15,8,40.68940747,-73.96885458,258,1,In Service,False,23
50,1,33,40.70122128,-74.01234218,259,1,In Service,False,39
51,1,31,40.70365182,-74.01167797,260,1,In Service,False,35
52,9,14,40.69474881,-73.98362464,261,1,In Service,False,27
53,7,13,40.6917823,-73.9737299,262,1,In Service,False,24
54,0,27,40.70706456,-74.00731853,264,1,In Service,False,27
55,23,11,40.72229346,-73.99147535,265,1,In Service,False,35
56,5,18,40.72368361,-73.97574813,266,1,In Service,False,24
57,13,42,40.75097711,-73.98765428,267,1,In Service,False,57
58,11,15,40.71910537,-73.99973337,268,1,In Service,False,27
59,18,11,40.68691865,-73.976682,274,1,In Service,False,31
60,9,10,40.68650065,-73.96563307,275,1,In Service,False,19
61,18,4,40.71748752,-74.0104554,276,1,In Service,False,25
62,2,16,40.69766564,-73.98476437,278,1,In Service,False,19
63,24,11,40.707873,-74.00167,279,1,In Service,False,36
64,7,22,40.73331967,-73.99510132,280,1,In Service,False,31
65,0,55,40.7643971,-73.97371465,281,1,In Service,False,57
66,7,20,40.707644944175705,-73.96841526031494,282,1,In Service,False,27
67,16,26,40.7390169121,-74.0026376103,284,1,In Service,False,43
68,9,41,40.73454567,-73.99074142,285,1,In Service,False,51
69,15,4,40.6845683,-73.95881081,289,1,In Service,False,19
70,13,7,40.713126,-73.984844,291,1,In Service,False,20
71,3,49,40.73020660529954,-73.99102628231049,293,1,In Service,False,55
72,7,13,40.71406667,-73.99293911,295,1,In Service,False,24
73,12,23,40.71413089,-73.9970468,296,1,In Service,False,35
74,19,8,40.734232,-73.986923,297,1,In Service,False,27
75,32,4,40.72217444,-73.98368779,301,1,In Service,False,37
76,3,20,40.72082834,-73.97793172,302,1,In Service,False,23
77,20,10,40.72362738,-73.99949601,303,1,In Service,False,31
78,2,30,40.70463334,-74.01361706,304,1,In Service,False,33
79,0,32,40.76095756,-73.96724467,305,1,In Service,False,33
80,2,15,40.70823502,-74.00530063,306,1,In Service,False,17
81,1,29,40.71427487,-73.98990025,307,1,In Service,False,31
82,6,20,40.71307916,-73.99851193,308,1,In Service,False,27
83,6,34,40.7149787,-74.013012,309,1,In Service,False,41
84,26,7,40.68926942,-73.98912867,310,1,In Service,False,36
85,7,24,40.7172274,-73.98802084,311,1,In Service,False,31
86,16,15,40.722055,-73.989111,312,1,In Service,False,31
87,11,12,40.69610226,-73.96751037,313,1,In Service,False,23
88,2,34,40.69383,-73.990539,314,1,In Service,False,39
89,24,2,40.70355377,-74.00670227,315,1,In Service,False,29
90,0,10,40.70955958,-74.00653609,316,3,Not In Service,False,27
91,26,1,40.72453734,-73.98185424,317,1,In Service,False,27
92,0,31,40.711066,-74.009447,319,1,In Service,False,33
93,3,30,40.717571,-74.005549,320,1,In Service,False,39
94,3,21,40.69991755,-73.98971773,321,1,In Service,False,27
95,15,15,40.696192,-73.991218,322,1,In Service,False,31
96,2,34,40.69236178,-73.98631746,323,1,In Service,False,39
97,39,8,40.689888,-73.981013,324,1,In Service,False,51
98,7,27,40.73624527,-73.98473765,325,1,In Service,False,35
99,19,7,40.72953837,-73.98426726,326,1,In Service,False,27
100,7,31,40.7153379,-74.01658354,327,1,In Service,False,39
101,0,22,40.72405549,-74.00965965,328,1,In Service,False,23
102,1,38,40.71450451,-74.00562789,330,1,In Service,False,39
103,0,23,40.71173107,-73.99193043,331,1,In Service,False,27
104,9,12,40.71219906,-73.97948148,332,1,In Service,False,24
105,30,1,40.74238787,-73.99726235,334,1,In Service,False,31
106,11,12,40.72903917,-73.99404649,335,1,In Service,False,27
107,26,10,40.73047747,-73.99906065,336,1,In Service,False,36
108,0,37,40.7037992,-74.00838676,337,1,In Service,False,37
109,9,15,40.72580614,-73.97422494,339,1,In Service,False,24
110,7,19,40.71269042,-73.98776323,340,1,In Service,False,27
111,9,10,40.71782143,-73.97628939,341,1,In Service,False,19
112,11,18,40.71739973,-73.98016555,342,1,In Service,False,29
113,14,9,40.69794,-73.96986848,343,1,In Service,False,23
114,14,9,40.6851443,-73.95380904,344,1,In Service,False,23
115,20,15,40.73649403,-73.99704374,345,1,In Service,False,35
116,15,10,40.73652889,-74.00618026,346,1,In Service,False,27
117,2,30,40.728846,-74.008591,347,1,In Service,False,35
118,26,14,40.72490985,-74.00154702,348,1,In Service,False,42
119,16,7,40.71850211,-73.98329859,349,1,In Service,False,23
120,22,5,40.71559509,-73.9870295,350,1,In Service,False,28
121,1,37,40.70530954,-74.00612572,351,1,In Service,False,39
122,20,7,40.68539567,-73.97431458,353,1,In Service,False,27
