,availableBikes,availableDocks,latitude,longitude,station_id,statusKey,statusValue,testStation,totalDocks
0,10,27,40.76727216,-73.99392888,72,1,In Service,False,39
1,2,31,40.71911552,-74.00666661,79,1,In Service,False,33
2,7,20,40.71117416,-74.00016545,82,1,In Service,False,27
3,31,27,40.68382604,-73.97632328,83,1,In Service,False,62
4,16,22,40.74177603,-74.00149746,116,1,In Service,False,39
5,11,8,40.69608941,-73.97803415,119,1,In Service,False,19
6,5,13,40.68676793,-73.95928168,120,1,In Service,False,19
7,11,20,40.73172428,-74.00674436,127,1,In Service,False,31
8,1,27,40.72710258,-74.00297088,128,1,In Service,False,30
9,14,9,40.69239502,-73.99337909,143,1,In Service,False,24
10,9,10,40.69839895,-73.98068914,144,1,In Service,False,19
11,0,39,40.71625008,-74.0091059,146,1,In Service,False,39
12,25,6,40.7208736,-73.98085795,150,1,In Service,False,31
13,13,20,40.722103786686034,-73.99724900722504,151,1,In Service,False,33
14,1,26,40.71473993,-74.00910627,152,1,In Service,False,29
15,10,41,40.752062307,-73.9816324043,153,1,In Service,False,55
16,13,10,40.69089272,-73.99612349,157,1,In Service,False,23
17,1,34,40.72917025,-73.99810231,161,1,In Service,False,35
18,7,33,40.75323098,-73.97032517,164,1,In Service,False,47
19,6,33,40.7489006,-73.97604882,167,1,In Service,False,45
20,9,34,40.73971301,-73.99456405,168,1,In Service,False,47
21,0,0,40.76068327096592,-73.9845272898674,173,3,Not In Service,False,0
22,26,4,40.7381765,-73.97738662,174,1,In Service,False,30
23,3,42,40.70905623,-74.01043382,195,1,In Service,False,45
24,13,15,40.74334935,-74.00681753,212,1,In Service,False,28
25,5,18,40.70037867,-73.99548059,216,1,In Service,False,23
26,10,29,40.70277159,-73.99383605,217,1,In Service,False,39
27,17,16,40.73781509,-73.99994661,223,1,In Service,False,33
28,0,0,40.71146364,-74.00552427,224,3,Not In Service,False,0
29,22,32,40.7546011026,-73.971878855,228,1,In Service,False,55
30,20,3,40.72743423,-73.99379025,229,1,In Service,False,23
31,9,14,40.69597683,-73.99014892,232,1,In Service,False,23
32,25,12,40.7284186,-73.98713956,236,1,In Service,False,39
33,22,17,40.73047309,-73.98672378,237,1,In Service,False,39
34,7,23,40.7361967,-74.00859207,238,1,In Service,False,31
35,14,17,40.69196566,-73.9813018,239,1,In Service,False,31
36,8,13,40.68981035,-73.97493121,241,1,In Service,False,23
37,10,11,40.697787,-73.973736,242,1,In Service,False,23
38,9,21,40.688226,-73.979382,243,1,In Service,False,31
39,23,8,40.69196035,-73.96536851,244,1,In Service,False,31
40,14,9,40.69327018,-73.97703874,245,1,In Service,False,23
41,9,11,40.73535398,-74.00483091,247,1,In Service,False,20
42,5,18,40.72185379,-74.00771779,248,1,In Service,False,23
43,14,13,40.71870987,-74.0090009,249,1,In Service,False,27
44,2,25,40.72317958,-73.99480012,251,1,In Service,False,27
45,21,12,40.73226398,-73.99852205,252,1,In Service,False,33
46,1,52,40.73543934,-73.99453948,253,1,In Service,False,55
47,5,26,40.73532427,-73.99800419,254,1,In Service,False,31
48,8,30,40.71939226,-74.00247214,257,1,In Service,False,39
49,10,13,40.68940747,-73.96885458,258,1,In Service,False,23
50,6,33,40.70122128,-74.01234218,259,1,In Service,False,39
51,9,26,40.70365182,-74.01167797,260,1,In Service,False,35
52,16,11,40.69474881,-73.98362464,261,1,In Service,False,27
53,12,11,40.6917823,-73.9737299,262,1,In Service,False,24
54,7,19,40.70706456,-74.00731853,264,1,In Service,False,27
55,23,10,40.72229346,-73.99147535,265,1,In Service,False,35
56,19,5,40.72368361,-73.97574813,266,1,In Service,False,24
57,0,56,40.75097711,-73.98765428,267,1,In Service,False,57
58,7,19,40.71910537,-73.99973337,268,1,In Service,False,27
59,11,12,40.69308257,-73.97178913,270,1,In Service,False,23
60,26,3,40.68691865,-73.976682,274,1,In Service,False,31
61,13,6,40.68650065,-73.96563307,275,1,In Service,False,19
62,3,22,40.71748752,-74.0104554,276,1,In Service,False,25
63,15,2,40.69766564,-73.98476437,278,1,In Service,False,19
64,3,32,40.707873,-74.00167,279,1,In Service,False,36
65,5,25,40.73331967,-73.99510132,280,1,In Service,False,31
66,9,46,40.7643971,-73.97371465,281,1,In Service,False,57
67,19,8,40.707644944175705,-73.96841526031494,282,1,In Service,False,27
68,15,20,40.7390169121,-74.0026376103,284,1,In Service,False,43
69,30,18,40.73454567,-73.99074142,285,1,In Service,False,51
70,9,9,40.6845683,-73.95881081,289,1,In Service,False,19
71,5,14,40.713126,-73.984844,291,1,In Service,False,20
72,17,36,40.73020660529954,-73.99102628231049,293,1,In Service,False,55
73,20,3,40.71406667,-73.99293911,295,1,In Service,False,24
74,14,20,40.71413089,-73.9970468,296,1,In Service,False,35
75,15,12,40.734232,-73.986923,297,1,In Service,False,27
76,15,22,40.72217444,-73.98368779,301,1,In Service,False,37
77,11,11,40.72082834,-73.97793172,302,1,In Service,False,23
78,4,27,40.72362738,-73.99949601,303,1,In Service,False,31
79,2,31,40.70463334,-74.01361706,304,1,In Service,False,34
80,27,3,40.76095756,-73.96724467,305,1,In Service,False,33
81,14,2,40.70823502,-74.00530063,306,1,In Service,False,17
82,26,5,40.71427487,-73.98990025,307,1,In Service,False,31
83,3,24,40.71307916,-73.99851193,308,1,In Service,False,27
84,27,13,40.7149787,-74.013012,309,1,In Service,False,41
85,24,12,40.68926942,-73.98912867,310,1,In Service,False,36
86,20,10,40.7172274,-73.98802084,311,1,In Service,False,31
87,5,24,40.722055,-73.989111,312,1,In Service,False,31
88,23,0,40.69610226,-73.96751037,313,3,Not In Service,False,23
89,10,28,40.69383,-73.990539,314,1,In Service,False,39
90,3,24,40.70355377,-74.00670227,315,1,In Service,False,29
